API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
Spotify,https://rapidapi.com/420vijay47/api/spotify117/,spotify117.p.rapidapi.com,GET:New releases,Get new releases based on country code.,,"[{'参数名': ['country'], '参数类型': ['STRING'], '参数注意事项': ['Enter country code like: US, CA, SE, IN, UK…']}]",[{}]
Spotify Downloader,https://rapidapi.com/xudoberdigayratov/api/spotify-downloader3/,spotify-downloader3.p.rapidapi.com,GET:Download Song,Download song from audio url,,"[{'参数名': ['url'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Spotify Downloader,https://rapidapi.com/xudoberdigayratov/api/spotify-downloader3/,spotify-downloader3.p.rapidapi.com,GET:Search track,Search track,,[{}],"[{'参数名': ['limit'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]"
Spotify,https://rapidapi.com/airaudoeduardo/api/spotify81/,spotify81.p.rapidapi.com,GET:Download Track - Youtube,"Download links in youtube.download
Download Track from Youtube.
Search by name. Gets the first result from the search query.",,"[{'参数名': ['q'], '参数类型': ['STRING'], '参数注意事项': ['Search term']}]",[{}]
Spotify,https://rapidapi.com/airaudoeduardo/api/spotify81/,spotify81.p.rapidapi.com,GET:Download Track - Soundcloud,"Download links in soundCloud.download
Download Track from Soundcloud.
Search by name. Gets the first result from the search query.",,"[{'参数名': ['q'], '参数类型': ['STRING'], '参数注意事项': ['Search term']}]",[{}]
Spotify,https://rapidapi.com/airaudoeduardo/api/spotify81/,spotify81.p.rapidapi.com,GET:Top 200 songs by country / global,Information obtained from https://charts.spotify.com/,,[{}],"[{'参数名': ['country', 'period', 'date'], '参数类型': ['ENUM', 'ENUM', 'DATE (YYYY-MM-DD)'], '参数注意事项': ['', '', 'If weekly you must select a Thursday for it to work.']}]"
Spotify,https://rapidapi.com/airaudoeduardo/api/spotify81/,spotify81.p.rapidapi.com,GET:Search,Search,,[{}],"[{'参数名': ['offset', 'limit', 'numberOfTopResults'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER'], '参数注意事项': ['', '', '']}]"
Shazam,https://rapidapi.com/apidojo/api/shazam/,shazam.p.rapidapi.com,GET:shazam-events/list,List future events,,[{}],"[{'参数名': ['l', 'from', 'to', 'limit', 'offset'], '参数类型': ['STRING', 'STRING', 'STRING', 'NUMBER', 'NUMBER'], '参数注意事项': ['The language code', 'The date to list events from', 'The date to list events to. Ex : 2023-01-15', 'The number of items per page, for paging purpose', 'The page index, for paging purpose']}]"
Shazam,https://rapidapi.com/apidojo/api/shazam/,shazam.p.rapidapi.com,GET:search,"Search for songs, artists that match input term",,[{}],"[{'参数名': ['locale', 'offset', 'limit'], '参数类型': ['STRING', 'NUMBER', 'NUMBER'], '参数注意事项': ['The language code', 'For paging purpose', 'For paging purpose, maximum is fixed at 5 items per response']}]"
Shazam,https://rapidapi.com/apidojo/api/shazam/,shazam.p.rapidapi.com,GET:auto-complete,Get suggestions by word or phrase,,[{}],"[{'参数名': ['locale'], '参数类型': ['STRING'], '参数注意事项': ['The language code']}]"
K-POP,https://rapidapi.com/thunderapi-thunderapi-default/api/k-pop/,k-pop.p.rapidapi.com,GET:Idols,Get idol individual info,IDOLS,[{}],"[{'参数名': ['by', 'offset', 'limit'], '参数类型': ['STRING', 'NUMBER', 'NUMBER'], '参数注意事项': [""default: Stage Name\n'by' parameter help you choose which info you would like to query based on.\nOnly the below values can be accepted for 'by'\nStage Name (default)\nFull Name\nKorean Name\nK. Stage Name\nDate of Birth\nGroup\nCountry\nSecond Country\nHeight\nWeight\nBirthplace\nOther Group\nFormer Group\nGender\nPosition\nInstagram\nTwitter"", 'default: 0\noffset for the result data', 'default: all there is\ncount limit for result']}]"
K-POP,https://rapidapi.com/thunderapi-thunderapi-default/api/k-pop/,k-pop.p.rapidapi.com,GET:random idol,Get random idol,IDOLS,[{}],[{}]
K-POP,https://rapidapi.com/thunderapi-thunderapi-default/api/k-pop/,k-pop.p.rapidapi.com,GET:boy-groups,Get boy-groups info,BOY-GROUPS,[{}],"[{'参数名': ['by', 'offset', 'limit'], '参数类型': ['STRING', 'NUMBER', 'NUMBER'], '参数注意事项': [""default: Stage Name\n'by' parameter help you choose which info you would like to query based on.\nOnly the below values can be accepted for 'by'.\nGroup Name (default)\nShort Group Name\nKorean Name\nDate of Debut\nCompany\nMembers\nOriginal Members\nFanclub Name\nActive"", 'default: 0\noffset for the result data', 'default: all there is\ncount limit for result']}]"
K-POP,https://rapidapi.com/thunderapi-thunderapi-default/api/k-pop/,k-pop.p.rapidapi.com,GET:random boy-group,Get random boy-group,BOY-GROUPS,[{}],[{}]
K-POP,https://rapidapi.com/thunderapi-thunderapi-default/api/k-pop/,k-pop.p.rapidapi.com,GET:girl-groups,Get info of girl-groups,GIRL-GROUPS,[{}],"[{'参数名': ['by', 'offset', 'limit'], '参数类型': ['STRING', 'NUMBER', 'NUMBER'], '参数注意事项': [""default: Stage Name\n'by' parameter help you choose which info you would like to query based on.\nOnly the below values can be accepted for 'by'.\nGroup Name (default)\nShort Group Name\nKorean Name\nDate of Debut\nCompany\nMembers\nOriginal Members\nFanclub Name\nActive"", 'default: 0\noffset for the result data', 'default: all there is\ncount limit for result']}]"
K-POP,https://rapidapi.com/thunderapi-thunderapi-default/api/k-pop/,k-pop.p.rapidapi.com,GET:random girl-group,Get random girl-group,GIRL-GROUPS,[{}],[{}]
K-POP,https://rapidapi.com/thunderapi-thunderapi-default/api/k-pop/,k-pop.p.rapidapi.com,GET:songs,Get K-POP songs info,SONGS,[{}],"[{'参数名': ['by', 'offset', 'limit'], '参数类型': ['STRING', 'NUMBER', 'NUMBER'], '参数注意事项': ['default: Song Name\n\'by\' parameter help you choose which info you would like to query based on.\nOnly the below values can be accepted for \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\""by\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\"".\nSong Name (default)\nDate\nArtist\nKorean Name\nDirector\nType\nRelease', 'default: 0\noffset for the result data', 'default: all there is\ncount limit for result']}]"
K-POP,https://rapidapi.com/thunderapi-thunderapi-default/api/k-pop/,k-pop.p.rapidapi.com,GET:random song,Get random K-POP song,SONGS,[{}],[{}]
