API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Send Voice Call,"Via the Voice Api of sms77 you can issue calls to certain phone numbers. The simplest way is to specify a text which is read to the recipient via our Text-to-Speech Gateway. For advanced applications, you have the option of sending the text in XML format.",Voice,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Create Webhook,Creates a webhook with the given configuration.,Webhooks,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Delete Webhook,Deletes the webhook with the given ID.,Webhooks,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Get Webhooks,Retrieves all existing webhooks.,Webhooks,"[{'参数名': ['p'], '参数类型': ['STRING'], '参数注意事项': ['API key from Sms77.io.']}]",[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Create,Creates a new subaccount.,Subaccounts,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,POST:Create,Creates a new subaccount.,Subaccounts,[{}],[{}]
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Outbound,Retrieves outbound messages history.,Journal,[{}],"[{'参数名': ['date_from', 'date_to', 'id', 'state', 'to'], '参数类型': ['STRING', 'STRING', 'NUMBER', 'STRING', 'STRING'], '参数注意事项': ['Start date for performed search', 'End date for performed search', 'Message ID', 'Message status - e.g. completed / failed for Voice or DELIVERED / NOTDELIVERED for SMS', 'Receiver phone number in any format']}]"
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Inbound,Retrieves inbound messages history.,Journal,[{}],"[{'参数名': ['date_from', 'date_to', 'id', 'state', 'to'], '参数类型': ['STRING', 'STRING', 'NUMBER', 'STRING', 'STRING'], '参数注意事项': ['Start date for performed search', 'End date for performed search', 'Message ID', 'Message status - e.g. completed / failed for Voice or DELIVERED / NOTDELIVERED for SMS', 'Receiver phone number in any format']}]"
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Replies,Retrieves message replies history.,Journal,[{}],"[{'参数名': ['date_from', 'date_to', 'id', 'state', 'to'], '参数类型': ['STRING', 'STRING', 'NUMBER', 'STRING', 'STRING'], '参数注意事项': ['Start date for performed search', 'End date for performed search', 'Message ID', 'Message status - e.g. completed / failed for Voice or DELIVERED / NOTDELIVERED for SMS', 'Receiver phone number in any format']}]"
sms77io,https://rapidapi.com/sms77io-sms77io-default/api/sms77io/,sms77io.p.rapidapi.com,GET:Voice,Retrieves voice messages history.,Journal,[{}],"[{'参数名': ['date_from', 'date_to', 'id', 'state', 'to'], '参数类型': ['STRING', 'STRING', 'NUMBER', 'STRING', 'STRING'], '参数注意事项': ['Start date for performed search', 'End date for performed search', 'Message ID', 'Message status - e.g. completed / failed etc.', 'Receiver phone number in any format']}]"
