API名称,API链接,API_Host,Endpoint名称,Endpoint描述,Endpoint种类,Endpoint必须参数,Endpoint可选参数
One Piece,https://rapidapi.com/selcukguler0/api/one-piece2/,one-piece2.p.rapidapi.com,GET:Get Character by Name,Get Character by Name,,"[{'参数名': ['name'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
One Piece,https://rapidapi.com/selcukguler0/api/one-piece2/,one-piece2.p.rapidapi.com,GET:Get Character by Devil Fruit Type,,,"[{'参数名': ['dftype'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
One Piece,https://rapidapi.com/selcukguler0/api/one-piece2/,one-piece2.p.rapidapi.com,GET:Get All Characters,Get All Characters,,[{}],[{}]
One Piece,https://rapidapi.com/selcukguler0/api/one-piece2/,one-piece2.p.rapidapi.com,GET:Get Episode Info,Get Episode Info with Episode Number,,"[{'参数名': ['episode'], '参数类型': ['STRING'], '参数注意事项': ['']}]",[{}]
Netflix,https://rapidapi.com/Glavier/api/netflix54/,netflix54.p.rapidapi.com,GET:Search,Search,Explore,[{}],"[{'参数名': ['offset', 'limit_titles', 'limit_suggestions', 'lang'], '参数类型': ['NUMBER', 'NUMBER', 'NUMBER', 'STRING'], '参数注意事项': ['Offset', 'Title Limit', 'Suggestion Limit', '']}]"
Netflix,https://rapidapi.com/Glavier/api/netflix54/,netflix54.p.rapidapi.com,GET:Languages,Languages,Explore,[{}],[{}]
Netflix,https://rapidapi.com/Glavier/api/netflix54/,netflix54.p.rapidapi.com,GET:Title Details,Title Details,Title,[{}],"[{'参数名': ['lang'], '参数类型': ['STRING'], '参数注意事项': ['']}]"
Netflix,https://rapidapi.com/Glavier/api/netflix54/,netflix54.p.rapidapi.com,GET:Title Seasons,Title Seasons,Title,[{}],"[{'参数名': ['offset', 'limit', 'lang'], '参数类型': ['NUMBER', 'NUMBER', 'STRING'], '参数注意事项': ['Offset', 'Season Limit', '']}]"
Netflix,https://rapidapi.com/Glavier/api/netflix54/,netflix54.p.rapidapi.com,GET:Title Similars,Title Similars,Title,[{}],"[{'参数名': ['offset', 'limit', 'lang'], '参数类型': ['NUMBER', 'NUMBER', 'STRING'], '参数注意事项': ['Offset', 'Title Limit', '']}]"
Netflix,https://rapidapi.com/Glavier/api/netflix54/,netflix54.p.rapidapi.com,GET:Title Trailers,Title Trailers,Title,[{}],"[{'参数名': ['offset', 'limit', 'lang'], '参数类型': ['NUMBER', 'NUMBER', 'STRING'], '参数注意事项': ['Offset', 'Trailer Limit', '']}]"
Netflix,https://rapidapi.com/Glavier/api/netflix54/,netflix54.p.rapidapi.com,GET:Season Episodes,Season Episodes,Season,[{}],"[{'参数名': ['offset', 'limit', 'lang'], '参数类型': ['NUMBER', 'NUMBER', 'STRING'], '参数注意事项': ['Offset', 'Episode Limit', '']}]"
"Movie, TV, music search and download",https://rapidapi.com/mikechen342/api/movie-tv-music-search-and-download/,movie-tv-music-search-and-download.p.rapidapi.com,GET:Search Torrents,Get downloadable torrent link by movie name.,,[{}],"[{'参数名': ['page'], '参数类型': ['NUMBER'], '参数注意事项': ['']}]"
"Movie, TV, music search and download",https://rapidapi.com/mikechen342/api/movie-tv-music-search-and-download/,movie-tv-music-search-and-download.p.rapidapi.com,GET:Get Monthly Top 100 Movies Torrents,Monthly Top 100 Movies Torrents,,[{}],[{}]
"Movie, TV, music search and download",https://rapidapi.com/mikechen342/api/movie-tv-music-search-and-download/,movie-tv-music-search-and-download.p.rapidapi.com,GET:Get Monthly Top 100 TV-shows Torrents,Monthly Top 100 TV-shows Torrents,,[{}],[{}]
"Movie, TV, music search and download",https://rapidapi.com/mikechen342/api/movie-tv-music-search-and-download/,movie-tv-music-search-and-download.p.rapidapi.com,GET:Get Monthly Top 100 Music Torrents,Monthly Top 100 Music Torrents,,[{}],[{}]
"Movie, TV, music search and download",https://rapidapi.com/mikechen342/api/movie-tv-music-search-and-download/,movie-tv-music-search-and-download.p.rapidapi.com,GET:Get Monthly Top 100 Games Torrents,Monthly Top 100 Games Torrents,,[{}],[{}]
